CompoundID,Product,MW,logP,PSA,ROTN,HBD,HBA,RCount,ARCount,Fsp3,HeavyAcount,Potential Hit,
4911,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCC3(CC2)OCCO3)n1,494.56,1.15,155.1,8,4,13,5,3,0.48,36,no,0
4918,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCC(C)(C)CC2)n1,464.58,2.44,136.64,8,4,11,4,3,0.48,34,no,0
4919,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCCCC2C)n1,450.55,2.19,136.64,8,4,11,4,3,0.45,33,no,0
4922,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CCCC2c2ccccc2)n1,498.6,3.15,136.64,9,4,11,5,4,0.31,37,yes,1
4923,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(NC(C)c2ccccc2F)n1,490.55,3.12,145.43,10,5,11,4,4,0.25,36,no,0
4926,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(NCc2ccc(OC(C)(C)C)cc2)nc(Nc2cc(C)n[nH]2)n1,530.64,3.6,154.66,11,5,12,4,4,0.33,39,no,0
4933,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(NCc2cc(F)cc(C(F)(F)F)c2)nc(Nc2cc(C)n[nH]2)n1,544.52,3.58,145.43,10,5,11,4,4,0.25,39,no,0
4934,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(Nc2ccccc2SC)n1,490.6,3.28,145.43,10,5,11,4,4,0.22,35,no,0
4939,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(NCCc2ccccc2Cl)nc(Nc2cc(C)n[nH]2)n1,507,3.12,145.43,11,5,11,4,4,0.25,36,no,0
4941,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(N(C)c2ccccn2)n1,459.52,1.97,149.53,9,4,12,4,4,0.23,34,no,0
4943,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(NCc2ccc(F)c(Cl)c2)nc(Nc2cc(C)n[nH]2)n1,510.97,3.22,145.43,10,5,11,4,4,0.22,36,no,0
4944,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(N2CC[C@H](C)C2)n1,436.52,1.66,136.64,8,4,11,4,3,0.43,32,yes,1
4952,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(NCc2cccc(Cl)c2F)nc(Nc2cc(C)n[nH]2)n1,510.97,3.22,145.43,10,5,11,4,4,0.22,36,no,0
4959,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(NC2CCc3ccccc32)n1,484.57,2.91,145.43,9,5,11,5,4,0.28,36,no,0
4965,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(NC2CCC(C)CC2)n1,464.58,2.8,145.43,9,5,11,4,3,0.48,34,no,0
4966,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(NCc2ccc(F)cc2)nc(Nc2cc(C)n[nH]2)n1,476.52,2.56,145.43,10,5,11,4,4,0.22,35,no,0
4967,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(NCc2ccc(C(F)(F)F)c(F)c2)nc(Nc2cc(C)n[nH]2)n1,544.52,3.58,145.43,10,5,11,4,4,0.25,39,no,0
4969,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(N[C@H](C)C2CCCCC2)n1,478.61,3.19,145.43,10,5,11,4,3,0.5,35,no,0
4978,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(N(C)Cc2cccc(C)c2)n1,486.58,2.76,136.64,10,4,11,4,4,0.28,36,no,0
4980,C=C(C)CN(CC)c1nc(Nc2cc(C)n[nH]2)nc(N[C@H](Cc2cccnc2)C(=O)NC)n1,450.55,2.21,136.64,11,4,11,3,3,0.36,33,yes,1
4993,C=CCN(CC=C)c1nc(Nc2cc(C)n[nH]2)nc(N[C@H](Cc2cccnc2)C(=O)NC)n1,448.54,1.99,136.64,12,4,11,3,3,0.27,33,no,0
4995,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(C)n[nH]2)nc(N[C@H](C)c2cccc(F)c2)n1,490.55,3.12,145.43,10,5,11,4,4,0.25,36,no,0
4999,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(COC)[nH]n2)nc(N2CCCC2c2ccc(F)c(F)c2)n1,564.6,3.27,145.87,11,4,12,5,4,0.33,41,yes,1
5002,CCOc1ccc(Nc2nc(Nc3cc(COC)[nH]n3)nc(N[C@H](Cc3cccnc3)C(=O)NC)n2)cc1,518.58,2.79,163.89,13,5,13,4,4,0.28,38,no,0
5006,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(COC)[nH]n2)nc(N2CCCC2c2ccccc2OC)n1,558.65,3,155.1,12,4,13,5,4,0.36,41,no,0
5023,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2cc(Cl)c(F)c(Cl)c2)nc(NC2CC2)n1,491.36,3.8,116.75,9,4,9,4,3,0.29,33,no,0
5029,CNC(=O)[C@@H](Cc1cccnc1)Nc1nc(Nc2c(F)ccc(F)c2F)nc(N2CCCC2c2ccccc2OC)n1,578.6,4.55,117.19,10,3,10,5,4,0.28,42,no,0
5030,CCOc1ccc(Nc2nc(N[C@@H](CC(C)C)C(=O)NC)nc(N3CCCC3c3cccc(C)c3)n2)cc1,517.68,5.24,104.3,11,3,9,4,3,0.45,38,no,0
5036,CNC(=O)[C@H](CC(C)C)Nc1nc(NCc2cccc3c2OCO3)nc(N2CCCC2c2cccc(C)c2)n1,531.66,4.43,113.53,10,3,10,5,3,0.45,39,no,0
5037,CCCCC(C)Nc1nc(N[C@@H](CC(C)C)C(=O)NC)nc(N2CCCC2c2ccccc2OC)n1,497.69,4.78,104.3,13,3,9,3,2,0.63,36,no,0
5039,C=C(C)CN(CC)c1nc(N[C@@H](CC(C)C)C(=O)NC)nc(N2CCCC2c2cccc(C)c2)n1,479.67,4.5,86.28,11,2,8,3,2,0.56,35,no,0
